"INSTNM","CITY","state","degree_offered","CONTROL","region","ADM_RATE","SATVRMID","SATMTMID","num_undergrad","prop_arts_human","prop_business","prop_health_med","prop_interdiscip","prop_public_svce","prop_sci_math_tech","prop_social_sci","prop_trades_personal_svce"
"Crowley's Ridge Technical Institute","Forrest City","AR","1","1","5",NA,NA,NA,286,0,0.0769,0.2012,0.0473,0,0.0178,0,0.6569
"East Arkansas Community College","Forrest City","AR","1","1","5",NA,NA,NA,922,0,0.1528,0.325,0.3278,0.1,0.0445,0.0194,0.0306
"Eastern College of Health Vocations-Little Rock","Little Rock","AR","1","2","5",NA,NA,NA,302,0,0,1,0,0,0,0,0
"Imagine-Paul Mitchell Partner School","North Little Rock","AR","1","2","5",NA,NA,NA,482,0,0,0,0,0,0,0,1
"National Park Community College","Hot Springs","AR","2","1","5",NA,NA,NA,2445,0.0143,0.0878,0.2903,0.4032,0.043,0.0269,0.0538,0.0806
"University of Arkansas Community College-Batesville","Batesville","AR","1","1","5",NA,NA,NA,1090,0,0.0872,0.5416,0.1826,0.0142,0,0.0791,0.0954
"Harding University","Searcy","AR","3","2","5",0.7628,560,560,4428,0.0856,0.1677,0.1189,0.1629,0.0999,0.1034,0.2615,0
"Henderson State University","Arkadelphia","AR","3","1","5",0.6221,499,540,3190,0.0983,0.1373,0.0574,0.1618,0.0348,0.0901,0.3954,0.0246
"Hendrix College","Conway","AR","3","2","5",0.8039,605,595,1428,0.1815,0.0223,0.0223,0.0605,0,0.3153,0.3981,0
"Hot Springs Beauty College","Hot Springs","AR","1","2","5",NA,NA,NA,43,0,0,0,0,0,0,0,1
"Jefferson Regional Medical Center School of Nursing","Pine Bluff","AR","1","2","5",NA,NA,NA,76,0,0,1,0,0,0,0,0
"John Brown University","Siloam Springs","AR","3","2","5",0.6982,570,573,1770,0.0982,0.5021,0,0.1047,0.015,0.0855,0.1946,0
"Lees School of Cosmetology","North Little Rock","AR","1","2","5",NA,NA,NA,27,0,0,0,0,0,0,0,1
"Career Academy of Hair Design","Springdale","AR","1","2","5",NA,NA,NA,364,0,0,0,0,0,0,0,1
"Academy of Salon and Spa","Fort Smith","AR","1","2","5",NA,NA,NA,75,0,0,0,0,0,0,0,1
"Mid-South Community College","West Memphis","AR","1","1","5",NA,NA,NA,1263,0.0036,0.0507,0.2065,0.308,0,0.0833,0.0399,0.308
"Arkansas Northeastern College","Blytheville","AR","1","1","5",NA,NA,NA,1141,0,0.0618,0.5469,0.1487,0.0137,0.0412,0.0664,0.1213
"Margaret's Hair Academy Inc","Monticello","AR","1","2","5",NA,NA,NA,65,0,0,0,0,0,0,0,1
"New Tyler Barber College Inc","North Little Rock","AR","1","2","5",NA,NA,NA,79,0,0,0,0,0,0,0,1
"North Arkansas College","Harrison","AR","1","1","5",NA,NA,NA,1885,0,0.0976,0.3904,0.2419,0,0.0792,0.0127,0.1782
"Northwest Technical Institute","Springdale","AR","1","1","5",NA,NA,NA,252,0,0.064,0.2906,0,0,0.2562,0,0.3892
"Ouachita Baptist University","Arkadelphia","AR","3","2","5",0.7011,495,520,1513,0.1701,0.1463,0.0612,0.0476,0.1054,0.17,0.2992,0
"College of the Ouachitas","Malvern","AR","1","1","5",NA,NA,NA,817,0,0.0493,0.4375,0.1414,0.0806,0.0609,0.0049,0.2252
"Ozarka College","Melbourne","AR","1","1","5",NA,NA,NA,1226,0,0.0511,0.6117,0.1894,0.0417,0,0.0549,0.0512
"University of the Ozarks","Clarksville","AR","3","2","5",0.6136,485,500,568,0.1715,0.4429,0,0.0286,0,0.1285,0.2286,0
"University of Arkansas Community College-Morrilton","Morrilton","AR","2","1","5",0.5838,NA,NA,2077,0.0181,0.0542,0.1391,0.3143,0,0.3018,0.0209,0.1516
"Philander Smith College","Little Rock","AR","3","2","5",NA,NA,NA,554,0.0873,0.3571,0,0.0476,0.0556,0.238,0.2143,0
"Phillips Community College of the University of Arkansas","Helena","AR","2","1","5",NA,NA,NA,986,0,0.071,0.287,0.2778,0.0525,0.0926,0.0741,0.1451
"Southeast Arkansas College","Pine Bluff","AR","1","1","5",NA,NA,NA,1415,0,0.0943,0.5236,0.1837,0.0423,0.0618,0,0.0943
"Professional Cosmetology Education Center","El Dorado","AR","1","2","5",NA,NA,NA,50,0,0,0,0,0,0,0,1
"Pulaski Technical College","North Little Rock","AR","2","1","5",NA,NA,NA,9480,0,0.0912,0.0613,0.6323,0.0188,0.0076,0.0101,0.1789
"University of Arkansas Community College-Hope","Hope","AR","1","1","5",NA,NA,NA,1157,0,0.0525,0.2646,0.2829,0,0.0484,0.0182,0.3333
"Rich Mountain Community College","Mena","AR","1","1","5",NA,NA,NA,553,0,0.0852,0.3565,0.4133,0,0.0347,0.0189,0.0916
"Paul Mitchell the School-Arkansas","Fayetteville","AR","1","2","5",NA,NA,NA,96,0,0,0,0,0,0,0,1
"Searcy Beauty College Inc","Searcy","AR","1","2","5",NA,NA,NA,104,0,0,0,0,0,0,0,1
"Shorter College","N Little Rock","AR","2","2","5",NA,NA,NA,330,0,0,0,1,0,0,0,0
"Williams Baptist College","Walnut Ridge","AR","3","2","5",0.6798,390,460,501,0.0179,0.0268,0,0.1429,0.1071,0.0803,0.625,0
"South Arkansas Community College","El Dorado","AR","1","1","5",NA,NA,NA,1306,0,0.0363,0.4398,0.1504,0.084,0.0088,0.0188,0.2619
"Southern Arkansas University Main Campus","Magnolia","AR","3","1","5",0.6081,465,510,2640,0.0405,0.1673,0.1056,0.2747,0.0951,0.1128,0.2043,0
"Southern Arkansas University Tech","Camden","AR","1","1","5",NA,NA,NA,894,0.0175,0.0175,0.2466,0.1227,0.3717,0.0739,0.015,0.1352
"Velvatex College of Beauty Culture","Little Rock","AR","1","2","5",NA,NA,NA,25,0,0,0,0,0,0,0,1
"University of Arkansas-Fort Smith","Fort Smith","AR","3","1","5",0.5736,445,525,6508,0.0537,0.141,0.1295,0.2414,0.0345,0.1219,0.1578,0.1203
"Academy of Art University","San Francisco","CA","3","2","8",NA,NA,NA,10300,0.7498,0,0,0,0,0.1996,0.0506,0
"ITT Technical Institute-Rancho Cordova","Rancho Cordova","CA","2","2","8",0.3845,NA,NA,510,0.0868,0.1198,0,0,0.1653,0.6281,0,0
"The Academy of Radio and TV Broadcasting","Huntington Beach","CA","1","2","8",NA,NA,NA,44,0,0,0,0,0,0.2297,0.7703,0
"Avalon School of Cosmetology-Alameda","Alameda","CA","1","2","8",NA,NA,NA,186,0,0,0,0,0,0,0,1
"College of Alameda","Alameda","CA","2","1","8",NA,NA,NA,5147,0.0082,0.2658,0.0658,0.3671,0.0602,0.0329,0.1123,0.0877
