"INSTNM","CITY","state","degree_offered","CONTROL","region","ADM_RATE","SATVRMID","SATMTMID","num_undergrad","prop_arts_human","prop_business","prop_health_med","prop_interdiscip","prop_public_svce","prop_sci_math_tech","prop_social_sci","prop_trades_personal_svce"
"Allan Hancock College","Santa Maria","CA","2","1","8",NA,NA,NA,9692,0.0269,0.0546,0.1192,0.5741,0.0784,0.0709,0.0231,0.0527
"American Academy of Dramatic Arts-Los Angeles","Los Angeles","CA","2","2","8",0.1479,NA,NA,258,1,0,0,0,0,0,0,0
"American Beauty College","West Covina","CA","1","2","8",NA,NA,NA,45,0,0,0,0,0,0,0,1
"American Career College-Los Angeles","Los Angeles","CA","1","2","8",NA,NA,NA,1770,0,0,1,0,0,0,0,0
"American Conservatory Theater","San Francisco","CA","1","2","8",NA,NA,NA,0,1,0,0,0,0,0,0,0
"American River College","Sacramento","CA","1","1","8",NA,NA,NA,27332,0.0344,0.0342,0.0345,0.1835,0.4141,0.0596,0.1122,0.1275
"Antelope Valley College","Lancaster","CA","2","1","8",NA,NA,NA,12416,0.0537,0.108,0.1093,0.2187,0.0921,0.1996,0.1491,0.0696
"Art Center College of Design","Pasadena","CA","3","2","8",0.8167,NA,NA,1742,0.8464,0,0,0,0,0.0813,0.0723,0
"Associated Technical College-Los Angeles","Los Angeles","CA","1","2","8",NA,NA,NA,404,0,0,0.645,0,0,0.355,0,0
"Associated Technical College-San Diego","San Diego","CA","1","2","8",NA,NA,NA,110,0,0,0,0,0,1,0,0
"Azusa Pacific University","Azusa","CA","3","2","8",0.7985,545,550,6543,0.1124,0.2038,0.2476,0.1168,0.0648,0.0311,0.2235,0
"Bakersfield College","Bakersfield","CA","1","1","8",NA,NA,NA,15854,0.028,0.1049,0.1973,0.272,0.05,0.0873,0.1121,0.1483
"Barstow Community College","Barstow","CA","2","1","8",NA,NA,NA,2866,0,0.1825,0.004,0.254,0.0595,0.0119,0.4206,0.0675
"Bellus Academy-National City","National City","CA","1","2","8",NA,NA,NA,185,0,0,0,0,0,0,0,1
"Bethesda University of California","Anaheim","CA","3","2","8",0.8321,NA,NA,259,0.2623,0,0,0,0.4016,0.123,0.2131,0
"Biola University","La Mirada","CA","3","2","8",0.7286,560,562,4324,0.1983,0.1553,0.0727,0.076,0.087,0.0594,0.3513,0
"Brooks Institute","Santa Barbara","CA","3","2","8",0.98,NA,NA,492,0.8269,0,0,0,0,0,0.1731,0
"Brownson Technical School","Anaheim","CA","1","2","8",NA,NA,NA,45,0,0,0,0,0,0,0,1
"Bryan University","Los Angeles","CA","2","2","8",NA,NA,NA,879,0,0,0.2871,0.6364,0.0766,0,0,0
"Butte College","Oroville","CA","1","1","8",NA,NA,NA,11123,0.0275,0.0582,0.1558,0.1016,0.295,0.0749,0.2172,0.0698
"California Institute of Integral Studies","San Francisco","CA","3","2","8",NA,NA,NA,75,0,0,0,1,0,0,0,0
"Cabrillo College","Aptos","CA","2","1","8",NA,NA,NA,12724,0.0567,0.0833,0.0934,0.4233,0.0782,0.1042,0.1003,0.0605
"California Baptist University","Riverside","CA","3","2","8",0.788,490,490,5797,0.0711,0.1464,0.1389,0.1906,0.0581,0.1141,0.2809,0
"California College of the Arts","San Francisco","CA","3","2","8",0.8157,NA,NA,1463,0.8361,0,0,0,0,0.1468,0.0068,0.0102
"California Institute of Technology","Pasadena","CA","3","2","8",0.1055,760,785,977,0,0.0039,0,0,0,0.9844,0.0117,0
"California Lutheran University","Thousand Oaks","CA","3","2","8",0.4802,545,562,2882,0.072,0.2621,0,0.1373,0.0458,0.1482,0.3342,0
"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA","3","1","8",0.3123,600,640,18664,0.0466,0.0782,0.0264,0.0748,0,0.655,0.1191,0
"Alliant International University","San Diego","CA","3","2","8",0.4922,NA,NA,254,0,0.5088,0,0,0,0,0.4912,0
"California State University-Bakersfield","Bakersfield","CA","3","1","8",0.6626,445,460,7226,0.0905,0.1811,0.0588,0.1744,0.1074,0.1095,0.2783,0
"California State University-Stanislaus","Turlock","CA","3","1","8",0.7215,455,465,7751,0.079,0.19,0.0617,0.1339,0.0759,0.1159,0.3435,0
"California State University-San Bernardino","San Bernardino","CA","3","1","8",0.5831,440,455,15887,0.0895,0.2135,0.0812,0.1384,0.0971,0.0837,0.2966,0
"California State Polytechnic University-Pomona","Pomona","CA","3","1","8",0.5218,515,555,20857,0.0539,0.3105,0.0105,0.0828,0,0.4003,0.1419,0
"California State University-Chico","Chico","CA","3","1","8",0.7161,500,515,15106,0.1331,0.168,0.0944,0.153,0.0524,0.1981,0.2011,0
"California State University-Dominguez Hills","Carson","CA","3","1","8",0.5747,425,425,11894,0.0545,0.2044,0.1197,0.1322,0.1238,0.0499,0.3157,0
"California State University-Fresno","Fresno","CA","3","1","8",0.5815,455,470,19911,0.0956,0.1475,0.1307,0.1365,0.0351,0.179,0.2756,0
"California State University-Fullerton","Fullerton","CA","3","1","8",0.4579,500,525,33000,0.1081,0.242,0.0764,0.0843,0.0865,0.0605,0.3421,0
"California State University-East Bay","Hayward","CA","3","1","8",0.6872,450,460,12079,0.0612,0.2799,0.1432,0.1447,0.0634,0.1032,0.2045,0
"California State University-Long Beach","Long Beach","CA","3","1","8",0.3082,495,525,30440,0.2438,0.1542,0.0959,0.1638,0.0284,0.1277,0.1861,0
"California State University-Los Angeles","Los Angeles","CA","3","1","8",0.6752,430,450,19525,0.1141,0.2089,0.0928,0.0703,0.1372,0.1117,0.2647,0
"California State University-Northridge","Northridge","CA","3","1","8",0.4624,455,465,33581,0.1459,0.1984,0.0622,0.1539,6e-04,0.09,0.3489,0
"California State University-Sacramento","Sacramento","CA","3","1","8",0.6968,465,485,25991,0.0844,0.1837,0.0947,0.1252,0.1075,0.1239,0.2807,0
"University of California-Berkeley","Berkeley","CA","3","1","8",0.18,655,700,25951,0.1333,0.0437,0.0147,0.0827,0.029,0.3928,0.3036,0
"University of California-Davis","Davis","CA","3","1","8",0.4521,575,620,26483,0.1057,0.0401,0.0103,0.0764,0,0.4263,0.3412,0
"University of California-Irvine","Irvine","CA","3","1","8",0.4239,530,600,23517,0.1114,0.1068,0.0729,0.0569,0,0.3113,0.3408,0
"University of California-Los Angeles","Los Angeles","CA","3","1","8",0.2199,620,680,28667,0.1592,0.0262,0.0079,0.0814,0,0.3253,0.3999,0
"University of California-Riverside","Riverside","CA","3","1","8",0.62,525,565,18612,0.1574,0.1583,0,0.0469,0.0107,0.2667,0.3601,0
"University of California-San Diego","La Jolla","CA","3","1","8",0.375,605,675,23792,0.0636,0.0446,0,0.0971,0,0.4448,0.3497,0
"University of California-Santa Barbara","Santa Barbara","CA","3","1","8",0.4444,590,625,19362,0.1543,0.0304,0,0.0854,6e-04,0.2627,0.4664,0
"University of California-Santa Cruz","Santa Cruz","CA","3","1","8",0.5991,540,555,15695,0.1822,0.0716,0,0.057,0.0253,0.3593,0.3045,0
"California Beauty School","Modesto","CA","1","2","8",NA,NA,NA,114,0,0,0,0,0,0,0,1
"California Christian College","Fresno","CA","3","2","8",0.8333,NA,NA,30,0,0,0,0,1,0,0,0
"California College San Diego","San Diego","CA","2","2","8",NA,NA,NA,762,0,0.0642,0.8451,0,0,0.0907,0,0
"Le Cordon Bleu College of Culinary Arts-San Francisco","San Francisco","CA","1","2","8",NA,NA,NA,489,0,0,0,0,0,0,0,1
"California Hair Design Academy","La Mesa","CA","1","2","8",NA,NA,NA,219,0,0,0,0,0,0,0,1
"California Institute of the Arts","Valencia","CA","3","2","8",0.2992,NA,NA,987,1,0,0,0,0,0,0,0
"California Maritime Academy","Vallejo","CA","3","1","8",0.748,525,550,1044,0,0.1379,0,0,0,0.2931,0.1609,0.408
"Canada College","Redwood City","CA","2","1","8",NA,NA,NA,5217,0.1007,0.0777,0.2518,0.2633,0.1352,0.0705,0.1008,0
"College of the Canyons","Santa Clarita","CA","2","1","8",NA,NA,NA,16784,0.0738,0.1175,0.0688,0.442,0.0509,0.0573,0.1784,0.0114
"Career Academy of Beauty","Garden Grove","CA","1","2","8",NA,NA,NA,167,0,0,0,0,0,0,0,1
"Casa Loma College-Van Nuys","Van Nuys","CA","1","2","8",1,NA,NA,606,0,0,1,0,0,0,0,0
"CET-San Diego","San Diego","CA","1","2","8",NA,NA,NA,267,0,0,0.1755,0,0,0,0,0.8245
"CET-Sobrato","San Jose","CA","1","2","8",NA,NA,NA,345,0,0.0558,0.2621,0.0437,0,0,0,0.6383
"CET-El Centro","El Centro","CA","1","2","8",NA,NA,NA,234,0,0.476,0,0,0,0,0,0.524
"CET-San Bernardino","San Bernardino","CA","1","2","8",NA,NA,NA,103,0,0,0,0,0,0,0,1
"CET-Watsonville","Watsonville","CA","1","2","8",NA,NA,NA,88,0,0,0.319,0,0,0,0,0.6811
"CET-Salinas","Salinas","CA","1","2","8",NA,NA,NA,65,0,0.7447,0,0,0,0,0,0.2553
"Cerritos College","Norwalk","CA","2","1","8",NA,NA,NA,20011,0.0331,0.1011,0.1343,0.3289,0.0789,0.0462,0.1079,0.1695
"Cerro Coso Community College","Ridgecrest","CA","2","1","8",NA,NA,NA,4029,0,0.1425,0.1266,0.4538,0.0923,0.0712,0,0.1135
"Chabot College","Hayward","CA","2","1","8",NA,NA,NA,12082,0.0267,0.2403,0.0777,0.3578,0.042,0.0981,0.0358,0.1216
"Chaffey College","Rancho Cucamonga","CA","2","1","8",NA,NA,NA,17217,0.0207,0.0745,0.0737,0.6,0.0438,0.0644,0.0534,0.0695
"Chapman University","Orange","CA","3","2","8",0.4471,595,615,5940,0.3345,0.2146,0.0354,0.0131,0.0061,0.0538,0.3422,0
"Charles R Drew University of Medicine and Science","Los Angeles","CA","2","2","8",0.8889,377,358,83,0,0,1,0,0,0,0,0
"Concordia University-Irvine","Irvine","CA","3","2","8",0.9119,502,505,1916,0.0799,0.226,0.1781,0.2238,0.0228,0.0731,0.1963,0
"San Diego Christian College","El Cajon","CA","3","2","8",0.492,505,490,889,0.0614,0.1667,0,0.4912,0.114,0.0263,0.114,0.0263
"Citrus College","Glendora","CA","2","1","8",NA,NA,NA,11494,0.093,0.1115,0.0613,0.2119,0.056,0.084,0.2309,0.1516
"Citrus Heights Beauty College","Citris Heights","CA","1","2","8",NA,NA,NA,96,0,0,0,0,0,0,0,1
"City College of San Francisco","San Francisco","CA","1","1","8",NA,NA,NA,24662,0.0364,0.0567,0.146,0.3263,0.0557,0.1389,0.1629,0.0769
"Claremont McKenna College","Claremont","CA","3","2","8",0.1173,695,715,1311,0.09,0.1246,0,0.0727,0.007,0.1246,0.5813,0
"Milan Institute-Visalia","Visalia","CA","1","2","8",NA,NA,NA,354,0,0.1204,0.8796,0,0,0,0,0
"Clovis Adult Education","Clovis","CA","1","1","8",NA,NA,NA,608,0,0.1534,0.8466,0,0,0,0,0
"Coastline Community College","Fountain Valley","CA","2","1","8",NA,NA,NA,8999,0.0037,0.4439,0,0.3843,0.0575,0.0353,0.0233,0.052
"Cogswell College","Sunnyvale","CA","3","2","8",0.7784,NA,NA,457,0.0698,0.0233,0,0,0.4186,0.4884,0,0
"Coleman University","San Diego","CA","2","2","8",1,NA,NA,532,0,0,0,0,0,1,0,0
"COBA Academy","Orange","CA","1","2","8",NA,NA,NA,40,0,0,0,0,0,0,0,1
"Columbia College","Sonora","CA","2","1","8",NA,NA,NA,2425,0.0771,0.0629,0.06,0.3515,0.06,0.0772,0.0201,0.2914
"Columbia College-Hollywood","Tarzana","CA","3","2","8",0.548,NA,NA,314,1,0,0,0,0,0,0,0
"El Camino College-Compton Center","Compton","CA","2","1","8",NA,NA,NA,6846,0.0239,0.0663,0.122,0.5358,0.0663,0.0692,0.0478,0.069
"Contra Costa College","San Pablo","CA","2","1","8",NA,NA,NA,5468,0.0048,0.0932,0.0647,0.4881,0.1493,0.0277,0.0571,0.1151
"Cosumnes River College","Sacramento","CA","2","1","8",NA,NA,NA,12852,0.0187,0.0961,0.0907,0.2572,0.0186,0.2349,0.1228,0.161
"Crafton Hills College","Yucaipa","CA","2","1","8",NA,NA,NA,4716,0.0561,0.0767,0.3466,0.1672,0.0986,0.0479,0.2068,0
"Cuesta College","San Luis Obispo","CA","2","1","8",NA,NA,NA,7964,0.0226,0.0661,0.1591,0.5756,0.0418,0.0443,0.0468,0.0436
"Cuyamaca College","El Cajon","CA","2","1","8",NA,NA,NA,7778,0.0543,0.1605,0,0.4333,0.0605,0.2618,0.0111,0.0185
"Cypress College","Cypress","CA","2","1","8",NA,NA,NA,14923,0.0207,0.127,0.1905,0.2353,0.0337,0.0746,0.0434,0.2748
"De Anza College","Cupertino","CA","2","1","8",NA,NA,NA,20496,0.035,0.2505,0.0893,0.216,0.0622,0.0791,0.1864,0.0816
"Marinello Schools of Beauty-Hemet","Hemet","CA","1","2","8",NA,NA,NA,1330,0,0,0.0228,0,0,0,0,0.9772
"International School of Beauty Inc","Palm Desert","CA","1","2","8",NA,NA,NA,229,0,0,0.0048,0,0,0,0,0.9952
"Dell'Arte International School of Physical Theatre","Blue Lake","CA","1","2","8",0.6667,NA,NA,14,1,0,0,0,0,0,0,0
"College of the Desert","Palm Desert","CA","2","1","8",NA,NA,NA,8330,0.0368,0.0907,0.1366,0.3398,0.0873,0.1629,0.0963,0.0494
"Design Institute of San Diego","San Diego","CA","3","2","8",NA,NA,NA,181,1,0,0,0,0,0,0,0
"Diablo Valley College","Pleasant Hill","CA","1","1","8",NA,NA,NA,18566,0.0579,0.1258,0.1166,0.324,0.0649,0.1276,0.1333,0.0499
"Dominican University of California","San Rafael","CA","3","2","8",0.7752,525,535,1567,0.1156,0.1446,0.3253,0.1157,0,0.1278,0.1711,0
"East Los Angeles College","Monterey Park","CA","1","1","8",NA,NA,NA,33439,0.008,0.1041,0.0806,0.3064,0.2466,0.0264,0.1849,0.0431
"Marinello Schools of Beauty-Santa Clara","Santa Clara","CA","1","2","8",NA,NA,NA,566,0,0,0,0,0,0,0,1
"El Camino Community College District","Torrance","CA","2","1","8",NA,NA,NA,22222,0.0587,0.0998,0.0956,0.4227,0.0495,0.1189,0.083,0.0713
"Elegance International","Hollywood","CA","1","2","8",NA,NA,NA,205,0,0,0,0,0,0,0,1
"Marinello Schools of Beauty-Burbank","Burbank","CA","1","2","8",NA,NA,NA,397,0,0,0,0,0,0,0,1
"Marinello Schools of Beauty-Moreno Valley","Moreno Valley","CA","1","2","8",NA,NA,NA,254,0,0,0,0,0,0,0,1
"Empire College School of Business","Santa Rosa","CA","1","2","8",NA,NA,NA,412,0,0.1698,0.5708,0,0.1321,0.1274,0,0
"Evergreen Valley College","San Jose","CA","2","1","8",NA,NA,NA,7472,0.0163,0.1892,0.1109,0.2643,0.1729,0.0474,0.1126,0.0865
"Fashion Institute of Design & Merchandising-Los Angeles","Los Angeles","CA","2","2","8",0.5701,NA,NA,3459,0.5015,0.4503,0,0.0482,0,0,0,0
"Fashion Institute of Design & Merchandising-San Francisco","San Francisco","CA","2","2","8",0.6358,NA,NA,637,0.4294,0.5706,0,0,0,0,0,0
"Fashion Institute of Design & Merchandising-Orange County","Irvine","CA","2","2","8",0.6915,NA,NA,214,0.5015,0.4503,0,0.0482,0,0,0,0
"Feather River Community College District","Quincy","CA","2","1","8",NA,NA,NA,1444,0.0201,0.0484,0.0242,0.5766,0.0201,0.3024,0,0.0081
"Federico Beauty Institute","Sacramento","CA","1","2","8",NA,NA,NA,246,0,0,0,0,0,0,0,1
"Hair California Beauty Academy","Orange","CA","1","2","8",NA,NA,NA,47,0,0,0,0,0,0,0,1
"Foothill College","Los Altos Hills","CA","2","1","8",NA,NA,NA,13362,0.0432,0.0604,0.2,0.3819,0.0027,0.0765,0.208,0.027
"Fredrick and Charles Beauty College","Eureka","CA","1","2","8",NA,NA,NA,83,0,0,0,0,0,0,0,1
"Fresno City College","Fresno","CA","2","1","8",NA,NA,NA,18888,0.0296,0.078,0.356,0.1611,0.1057,0.0993,0.1352,0.0352
"Fresno Pacific University","Fresno","CA","3","2","8",0.7844,495,495,2496,0.0115,0.2821,0.0491,0.2419,0.0553,0.034,0.3262,0
"Fullerton College","Fullerton","CA","2","1","8",NA,NA,NA,22295,0.0563,0.1567,0.0117,0.3874,0.0576,0.0849,0.1755,0.0699
"Gavilan College","Gilroy","CA","2","1","8",NA,NA,NA,5267,0.0288,0.0839,0.1796,0.4495,0.0734,0.0537,0.0682,0.0629
"Gemological Institute of America-Carlsbad","Carlsbad","CA","1","2","8",NA,NA,NA,192,1,0,0,0,0,0,0,0
"Glendale Community College","Glendale","CA","2","1","8",NA,NA,NA,14102,0.0597,0.293,0.2575,0.1436,0.0398,0.0384,0.1123,0.0554
"Glendale Career College","Glendale","CA","1","2","8",1,NA,NA,293,0,0,0.8235,0,0,0.1765,0,0
"Golden Gate University-San Francisco","San Francisco","CA","3","2","8",NA,NA,NA,470,0,0.9448,0,0,0,0.0552,0,0
"Golden West College","Huntington Beach","CA","1","1","8",NA,NA,NA,11689,0.041,0.0286,0.053,0.5709,0.0374,0.0774,0.0603,0.1314
"Grossmont College","El Cajon","CA","2","1","8",NA,NA,NA,17042,0.0798,0.1154,0.0945,0.557,0.0675,0.025,0.0441,0.0166
"Salon Success Academy-San Bernardino","San Bernardino","CA","1","2","8",NA,NA,NA,30,0,0,0,0,0,0,0,1
"Hartnell College","Salinas","CA","2","1","8",NA,NA,NA,8829,0.0278,0.0652,0.0545,0.5897,0.1154,0.0898,0.0332,0.0246
"Harvey Mudd College","Claremont","CA","3","2","8",0.1817,720,760,803,0,0,0,0.1217,0,0.8783,0,0
"Hilltop Beauty School","Daly City","CA","1","2","8",NA,NA,NA,126,0,0,0,0,0,0,0,1
"Holy Names University","Oakland","CA","3","2","8",0.5668,455,455,800,0.0499,0.2571,0.1643,0.1571,0,0.0429,0.3285,0
"Humboldt State University","Arcata","CA","3","1","8",0.8018,515,500,7748,0.1734,0.0645,0.0146,0.1682,0.0286,0.3262,0.2247,0
"Humphreys College-Stockton and Modesto Campuses","Stockton","CA","3","2","8",NA,NA,NA,757,0,0.1659,0,0.237,0.3555,0,0.2417,0
"Imperial Valley College","Imperial","CA","2","1","8",NA,NA,NA,6663,0.0162,0.0675,0.1178,0.4398,0.1085,0.0514,0.1564,0.0427
"Institute for Business and Technology","Santa Clara","CA","1","2","8",NA,NA,NA,173,0,0,0.3791,0,0,0,0,0.6209
"Interior Designers Institute","Newport Beach","CA","1","2","8",NA,NA,NA,293,1,0,0,0,0,0,0,0
"Toni & Guy Hairdressing Academy-Santa Monica","Santa Monica","CA","1","2","8",NA,NA,NA,268,0,0,0,0,0,0,0,1
"Irvine Valley College","Irvine","CA","1","1","8",NA,NA,NA,11725,0.0205,0.1262,0,0.7561,0.0105,0.0435,0.032,0.0115
"ITT Technical Institute-National City","National City","CA","2","2","8",0.9298,NA,NA,1209,0.0208,0.0556,0,0,0.2257,0.698,0,0
"ITT Technical Institute-San Dimas","San Dimas","CA","2","2","8",0.9617,NA,NA,534,0.038,0.0886,0.0549,0,0.1941,0.6245,0,0
"ITT Technical Institute-Orange","Orange","CA","2","2","8",0.91,NA,NA,823,0,0.0713,0.0295,0,0.3145,0.5848,0,0
"Bellus Academy-El Cajon","El Cajon","CA","1","2","8",NA,NA,NA,184,0,0,0,0,0,0,0,1
"John F Kennedy University","Pleasant Hill","CA","3","2","8",NA,NA,NA,271,0,0.1887,0,0.0283,0.3868,0,0.3962,0
"American Jewish University","Los Angeles","CA","3","2","8",0.59,NA,NA,109,0.3055,0.2778,0,0,0,0.1389,0.2777,0
"Reedley College","Reedley","CA","2","1","8",NA,NA,NA,12081,0.0036,0.0826,0.0889,0.255,0.0197,0.3044,0.1095,0.1365
"Life Pacific College","San Dimas","CA","3","2","8",0.7482,465,465,475,0,0,0,0,0.7586,0,0.2414,0
"The Art Institute of California-Argosy University San Diego","San Diego","CA","3","2","8",NA,NA,NA,1869,0.2729,0.0401,0,0,0,0.1889,0.0382,0.4599
"University of La Verne","La Verne","CA","3","2","8",0.3895,505,525,5128,0.0371,0.4093,0.0157,0.187,0.0565,0.0315,0.263,0
"Laguna College of Art and Design","Laguna Beach","CA","3","2","8",0.4327,NA,NA,514,1,0,0,0,0,0,0,0
"Lake Tahoe Community College","South Lake Tahoe","CA","2","1","8",NA,NA,NA,2155,0.0704,0.1005,0.0653,0.3418,0.1055,0.0905,0.196,0.0302
"Lancaster Beauty School","Lancaster","CA","1","2","8",NA,NA,NA,93,0,0,0,0,0,0,0,1
"Laney College","Oakland","CA","2","1","8",NA,NA,NA,10140,0.0686,0.2672,0,0.1824,0,0.1065,0.1592,0.2161
"Lassen Community College","Susanville","CA","2","1","8",NA,NA,NA,2290,0.0093,0.0402,0.0433,0.6874,0.1146,0.0991,0.0031,0.0031
"Lincoln University","Oakland","CA","2","2","8",NA,NA,NA,97,0,0.2667,0.7333,0,0,0,0,0
"Southern California Seminary","El Cajon","CA","3","2","8",NA,NA,NA,68,0,0,0,0,1,0,0,0
"La Sierra University","Riverside","CA","3","2","8",0.4677,455,470,2060,0.1289,0.1742,0.2195,0.1185,0.0523,0.1672,0.1394,0
"Loma Linda University","Loma Linda","CA","3","2","8",NA,NA,NA,1101,0,0,0.9957,0,0,0.0043,0,0
"Long Beach City College","Long Beach","CA","1","1","8",NA,NA,NA,22475,0.0224,0.4213,0.119,0.1121,0.045,0.1103,0.0505,0.1195
"Los Angeles Harbor College","Wilmington","CA","2","1","8",NA,NA,NA,8719,0.0049,0.0506,0.0865,0.7439,0.0245,0.0245,0.0082,0.0571
"Los Angeles Pierce College","Woodland Hills","CA","2","1","8",NA,NA,NA,17528,0.0121,0.0691,0.0509,0.7125,0.0157,0.0394,0.0085,0.0916
"Los Angeles Southwest College","Los Angeles","CA","2","1","8",NA,NA,NA,6129,0.0192,0.0924,0.1051,0.5573,0.0605,0.0128,0.1528,0
"Los Angeles Trade Technical College","Los Angeles","CA","1","1","8",NA,NA,NA,12033,0.07,0.0618,0.0326,0.174,0.0048,0.1787,0,0.4783
"Los Angeles Valley College","Valley Glen","CA","1","1","8",NA,NA,NA,16111,0.0324,0.0487,0.0699,0.6415,0.0529,0.0395,0.1009,0.0141
"The Master's College and Seminary","Santa Clarita","CA","3","2","8",0.6137,555,540,1112,0.1149,0.1303,0,0.1265,0.2989,0.1226,0.2069,0
"Los Angeles City College","Los Angeles","CA","2","1","8",NA,NA,NA,16485,0.0996,0.0832,0.0903,0.5206,0.0524,0.0873,0.0657,0.001
"Los Angeles County College of Nursing and Allied Health","Los Angeles","CA","2","1","8",NA,NA,NA,182,0,0,1,0,0,0,0,0
"Los Angeles Mission College","Sylmar","CA","2","1","8",NA,NA,NA,7931,0.0218,0.0425,0.0297,0.6963,0.094,0.0386,0.0554,0.0218
"Los Medanos College","Pittsburg","CA","2","1","8",NA,NA,NA,7502,0.0219,0.0753,0.1177,0.4306,0.144,0.0512,0.0475,0.1119
"The Art Institute of California-Argosy University San Francisco","San Francisco","CA","3","2","8",NA,NA,NA,1304,0.4229,0.1111,0,0,0,0.2401,0.0323,0.1935
"Loyola Marymount University","Los Angeles","CA","3","2","8",0.5412,590,600,6087,0.2218,0.2375,0.0039,0.0689,0.0039,0.1417,0.3223,0
"Lu Ross Academy","Ventura","CA","1","2","8",NA,NA,NA,186,0,0,0,0,0,0,0,1
"Lyles Fresno College of Beauty","Fresno","CA","1","2","8",NA,NA,NA,56,0,0,0,0,0,0,0,1
"Lytles Redwood Empire Beauty College Inc","Santa Rosa","CA","1","2","8",NA,NA,NA,126,0,0,0,0,0,0,0,1
"MTI Business College Inc","Stockton","CA","1","2","8",NA,NA,NA,138,0,0.2162,0.7568,0,0.027,0,0,0
"MTI College","Sacramento","CA","1","2","8",NA,NA,NA,594,0,0.0818,0.3433,0,0.1776,0.1936,0,0.2036
"Kaplan College-Sacramento","Sacramento","CA","1","2","8",NA,NA,NA,520,0,0,0.9435,0,0.0565,0,0,0
"Kaplan College-San Diego","San Diego","CA","1","2","8",NA,NA,NA,1335,0,0,0.9772,0,0.0228,0,0,0
"Kaplan College-Vista","Vista","CA","1","2","8",NA,NA,NA,890,0,0,0.9761,0,0.0239,0,0,0
"College of Marin","Kentfield","CA","2","1","8",NA,NA,NA,5040,0.0713,0.1021,0.1853,0.4656,0.0642,0.0334,0.057,0.0214
"Marinello Schools of Beauty-Los Angeles","Los Angeles","CA","1","2","8",NA,NA,NA,2405,0,0,0.0057,0,0,0,0,0.9943
"Marymount California University","Rancho Palos Verdes","CA","2","2","8",NA,NA,NA,1033,0,0.1707,0,0.7805,0,0.0488,0,0
"Mendocino College","Ukiah","CA","2","1","8",NA,NA,NA,3130,0.0232,0.3256,0.064,0.2238,0.0552,0.0697,0.2006,0.0378
"Menlo College","Atherton","CA","3","2","8",0.3705,482,508,742,0,0.7914,0,0.0647,0,0,0.1439,0
"Merced College","Merced","CA","2","1","8",NA,NA,NA,9163,0.0266,0.1129,0.2023,0.115,0.0895,0.1427,0.2736,0.0372
"Merritt College","Oakland","CA","2","1","8",NA,NA,NA,5435,0.0048,0.0857,0.3048,0.2142,0.1261,0.0691,0.1953,0
"Mills College","Oakland","CA","3","2","8",0.6798,590,555,974,0.2921,0.0225,0.0974,0.0974,0.0187,0.1422,0.3296,0
"MiraCosta College","Oceanside","CA","1","1","8",NA,NA,NA,13846,0.0189,0.097,0.1257,0.5252,0.0163,0.1147,0.0597,0.0426
"Marinello Schools of Beauty-San Francisco","San Francisco","CA","1","2","8",NA,NA,NA,616,0,0,0.0954,0,0,0,0,0.9046
"Mission College","Santa Clara","CA","2","1","8",NA,NA,NA,7467,0.0136,0.127,0.1714,0.2861,0.0728,0.2516,0.0468,0.0309
"Modern Beauty Academy","Oxnard","CA","1","2","8",NA,NA,NA,48,0,0,0,0,0,0,0,1
"Kaplan College-North Hollywood","North Hollywood","CA","1","2","8",NA,NA,NA,786,0,0,1,0,0,0,0,0
"Modesto Junior College","Modesto","CA","2","1","8",NA,NA,NA,15904,0.0537,0.0852,0.1433,0.4487,0.0786,0.0781,0.0697,0.0426
"Moler Barber College","Oakland","CA","1","2","8",NA,NA,NA,76,0,0,0,0,0,0,0,1
"Monterey Institute of International Studies","Monterey","CA","3","2","8",NA,NA,NA,22,0,0,0,0,0,0,1,0
"Monterey Peninsula College","Monterey","CA","2","1","8",NA,NA,NA,8781,0.0729,0.142,0.1344,0.3415,0.0595,0.1248,0.1114,0.0134
"Moorpark College","Moorpark","CA","2","1","8",NA,NA,NA,13437,0.0183,0.0325,0.0424,0.7587,0.0188,0.066,0.0633,0
"Mt San Antonio College","Walnut","CA","2","1","8",NA,NA,NA,25800,0.0654,0.1333,0.1269,0.2151,0.0733,0.1197,0.1687,0.0975
"Mount St Mary's College","Los Angeles","CA","3","2","8",0.7409,465,470,2617,0.0512,0.1092,0.4949,0.0972,0.0324,0.0375,0.1774,0
"Mt San Jacinto Community College District","San Jacinto","CA","2","1","8",NA,NA,NA,13324,0.0374,0.0764,0.0405,0.4917,0.0556,0.0802,0.2084,0.0099
